,entity_id,state,created
1323,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 06:40:14.985419
1325,sensor.0x00158d00066941c9_illuminance_lux,3,2021-11-26 06:40:14.983200
1333,device_tracker.chris_phone,home,2021-11-26 06:28:07.293573
1336,device_tracker.chris_phone,home,2021-11-26 06:21:43.572104
1337,device_tracker.chris_phone,home,2021-11-26 06:16:40.852450
1340,weather.home,rainy,2021-11-26 06:06:40.668290
1343,device_tracker.chris_phone,home,2021-11-26 05:59:46.780950
1345,device_tracker.chris_phone,home,2021-11-26 05:48:57.402915
1346,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 05:45:15.063626
1348,sensor.0x00158d00066941c9_illuminance_lux,3,2021-11-26 05:45:15.061396
1352,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-26 05:36:02.198101
1353,sensor.0x00158d0001e4ad46_illuminance_lux,4,2021-11-26 05:36:02.197448
1354,sensor.0x00158d0001e4ad46_illuminance_lux,3,2021-11-26 05:36:02.196402
1358,device_tracker.chris_phone,home,2021-11-26 05:28:42.987240
1360,device_tracker.chris_phone,home,2021-11-26 05:16:41.274349
1361,weather.home,rainy,2021-11-26 05:07:40.666927
1365,device_tracker.chris_phone,home,2021-11-26 04:54:58.550750
1368,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-26 04:53:01.958990
1369,sensor.bedroom_entrance_illuminance_lux,3,2021-11-26 04:53:01.958263
1370,sensor.bedroom_entrance_illuminance_lux,0,2021-11-26 04:53:01.957110
1374,device_tracker.chris_phone,home,2021-11-26 04:43:38.601247
1376,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-26 04:41:01.148398
1377,sensor.0x00158d0001e4ad46_illuminance_lux,3,2021-11-26 04:41:01.146498
1382,device_tracker.chris_phone,home,2021-11-26 04:24:47.764310
1383,device_tracker.chris_phone,home,2021-11-26 04:21:43.480605
1384,weather.home,cloudy,2021-11-26 04:08:40.676351
1387,device_tracker.chris_phone,home,2021-11-26 04:05:57.711820
1389,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 03:55:15.852888
1391,sensor.0x00158d00066941c9_illuminance_lux,3,2021-11-26 03:55:15.850455
1394,device_tracker.chris_phone,home,2021-11-26 03:54:59.777541
1397,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-26 03:46:00.127524
1398,sensor.0x00158d0001e4ad46_illuminance_lux,3,2021-11-26 03:46:00.122706
1399,device_tracker.chris_phone,home,2021-11-26 03:42:56.226866
1403,device_tracker.chris_phone,home,2021-11-26 03:24:59.574715
1404,device_tracker.chris_phone,home,2021-11-26 03:23:38.342140
1409,weather.home,cloudy,2021-11-26 03:09:40.679200
1415,device_tracker.chris_phone,home,2021-11-26 03:03:39.272422
1416,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-26 03:03:01.355478
1417,sensor.bedroom_entrance_illuminance_lux,0,2021-11-26 03:03:01.353866
1418,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 03:00:13.490192
1419,sensor.0x00158d00066941c9_illuminance_lux,3,2021-11-26 03:00:13.489325
1421,sensor.0x00158d00066941c9_illuminance_lux,16,2021-11-26 03:00:13.487279
1425,device_tracker.chris_phone,home,2021-11-26 02:54:57.536806
1428,device_tracker.chris_phone,home,2021-11-26 02:53:23.938008
1430,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-26 02:50:59.527811
1431,sensor.0x00158d0001e4ad46_illuminance_lux,3,2021-11-26 02:50:59.527023
1432,sensor.0x00158d0001e4ad46_illuminance_lux,7,2021-11-26 02:50:59.525900
1437,device_tracker.chris_phone,home,2021-11-26 02:36:44.339527
1440,device_tracker.chris_phone,home,2021-11-26 02:31:14.165476
1446,device_tracker.chris_phone,home,2021-11-26 02:13:40.184718
1452,weather.home,cloudy,2021-11-26 02:10:40.675531
1458,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 02:05:14.087899
1460,sensor.0x00158d00066941c9_illuminance_lux,16,2021-11-26 02:05:14.084903
1463,device_tracker.chris_phone,home,2021-11-26 01:56:47.014193
1464,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 01:55:59.400983
1465,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 01:55:59.399579
1466,sensor.0x00158d00066941c9_illuminance_lux,16,2021-11-26 01:55:59.397165
1468,binary_sensor.0x00158d0001e4ad46_occupancy,off,2021-11-26 01:55:59.387200
1469,sensor.0x00158d0001e4ad46_illuminance_lux,7,2021-11-26 01:55:59.386457
1470,sensor.0x00158d0001e4ad46_illuminance_lux,16,2021-11-26 01:55:59.385201
1496,device_tracker.chris_phone,home,2021-11-26 01:54:44.293283
1497,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 01:54:29.374259
1498,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 01:54:29.372997
1499,sensor.0x00158d00066941c9_illuminance_lux,16,2021-11-26 01:54:29.371687
1500,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-26 01:54:29.368575
1503,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-26 01:53:05.847962
1504,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-26 01:53:05.846995
1505,sensor.bedroom_entrance_illuminance_lux,0,2021-11-26 01:53:05.845131
1506,binary_sensor.0x00158d00066941c9_occupancy,off,2021-11-26 01:53:03.316841
1507,binary_sensor.0x00158d00066941c9_occupancy,on,2021-11-26 01:53:03.315974
1508,sensor.0x00158d00066941c9_illuminance_lux,20,2021-11-26 01:53:03.314053
1510,binary_sensor.0x00158d00045d21c2_occupancy,on,2021-11-26 01:51:35.842601
1511,binary_sensor.0x00158d00045d21c2_occupancy,off,2021-11-26 01:51:35.841724
